Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location,Number of Bars,Weather Condition,Severity,geometry,area_number,bar_location,Hour of Day,Visibility (mi)
902582972,2015-12-04,Weekday,22:00:00,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,2ND & HIGH,39.160944,-86.508288,"39.160944,-86.508288",7,Clear,1,POINT (-86.508288 39.160944),0.0,"POLYGON ((-86.4937952463768 39.160944, -86.49386503294677 39.15952346173435, -86.49407372057387 39.158116604028756, -86.49441929948213 39.15673697569196, -86.4948984415578 39.15539786329906, -86.49550653240074 39.15411216323441, -86.49623771576373 39.15289225749247, -86.49708494995126 39.15174989443241, -86.49804007563498 39.150696075634976, -86.4990938944324 39.149740949951266, -86.50023625749246 39.148893715763734, -86.5014561632344 39.14816253240075, -86.50274186329905 39.14755444155781, -86.50408097569196 39.14707529948214, -86.50546060402874 39.146729720573866, -86.50686746173434 39.14652103294678, -86.508288 39.14645124637681, -86.50970853826564 39.14652103294678, -86.51111539597125 39.146729720573866, -86.51249502430802 39.14707529948214, -86.51383413670094 39.14755444155781, -86.51511983676559 39.14816253240075, -86.51633974250753 39.148893715763734, -86.51748210556758 39.149740949951266, -86.51853592436501 39.150696075634976, -86.51949105004873 39.15174989443241, -86.52033828423626 39.15289225749247, -86.52106946759925 39.15411216323441, -86.52167755844219 39.15539786329906, -86.52215670051785 39.15673697569196, -86.52250227942612 39.158116604028756, -86.52271096705321 39.15952346173435, -86.52278075362318 39.160944, -86.52271096705321 39.16236453826565, -86.52250227942612 39.163771395971246, -86.52215670051785 39.16515102430804, -86.52167755844219 39.16649013670094, -86.52106946759925 39.16777583676559, -86.52033828423626 39.16899574250753, -86.51949105004873 39.17013810556759, -86.51853592436501 39.171191924365026, -86.51748210556758 39.172147050048736, -86.51633974250753 39.17299428423627, -86.51511983676559 39.173725467599255, -86.51383413670094 39.17433355844219, -86.51249502430802 39.17481270051786, -86.51111539597125 39.175158279426135, -86.50970853826564 39.17536696705322, -86.508288 39.17543675362319, -86.50686746173434 39.17536696705322, -86.50546060402874 39.175158279426135, -86.50408097569196 39.17481270051786, -86.50274186329905 39.17433355844219, -86.5014561632344 39.173725467599255, -86.50023625749246 39.17299428423627, -86.4990938944324 39.172147050048736, -86.49804007563498 39.171191924365026, -86.49708494995126 39.17013810556759, -86.49623771576373 39.16899574250753, -86.49550653240074 39.16777583676559, -86.4948984415578 39.16649013670094, -86.49441929948213 39.16515102430804, -86.49407372057387 39.163771395971246, -86.49386503294677 39.16236453826565, -86.4937952463768 39.160944))",22,6
902484079,2015-07-06,Weekday,13:00:00,2-Car,Incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S LEONARD SPRINGS,39.142048,-86.582592,"39.142048,-86.582592",1,Clear,2,POINT (-86.582592 39.142048),0.0,"POLYGON ((-86.56809924637682 39.142048, -86.56816903294678 39.140627461734354, -86.56837772057388 39.13922060402876, -86.56872329948214 39.137840975691965, -86.5692024415578 39.13650186329906, -86.56981053240075 39.13521616323441, -86.57054171576374 39.13399625749247, -86.57138894995127 39.132853894432415, -86.57234407563499 39.13180007563498, -86.57339789443242 39.13084494995127, -86.57454025749247 39.129997715763736, -86.5757601632344 39.12926653240075, -86.57704586329906 39.12865844155781, -86.57838497569198 39.12817929948214, -86.57976460402875 39.12783372057387, -86.58117146173436 39.12762503294678, -86.582592 39.127555246376815, -86.58401253826565 39.12762503294678, -86.58541939597126 39.12783372057387, -86.58679902430804 39.12817929948214, -86.58813813670095 39.12865844155781, -86.5894238367656 39.12926653240075, -86.59064374250754 39.129997715763736, -86.59178610556759 39.13084494995127, -86.59283992436502 39.13180007563498, -86.59379505004874 39.132853894432415, -86.59464228423627 39.13399625749247, -86.59537346759926 39.13521616323441, -86.5959815584422 39.13650186329906, -86.59646070051787 39.137840975691965, -86.59680627942613 39.13922060402876, -86.59701496705323 39.140627461734354, -86.5970847536232 39.142048, -86.59701496705323 39.14346853826565, -86.59680627942613 39.14487539597125, -86.59646070051787 39.14625502430804, -86.5959815584422 39.147594136700945, -86.59537346759926 39.148879836765595, -86.59464228423627 39.150099742507535, -86.59379505004874 39.15124210556759, -86.59283992436502 39.15229592436503, -86.59178610556759 39.15325105004874, -86.59064374250754 39.15409828423627, -86.5894238367656 39.15482946759926, -86.58813813670095 39.155437558442195, -86.58679902430804 39.155916700517864, -86.58541939597126 39.15626227942614, -86.58401253826565 39.156470967053224, -86.582592 39.15654075362319, -86.58117146173436 39.156470967053224, -86.57976460402875 39.15626227942614, -86.57838497569198 39.155916700517864, -86.57704586329906 39.155437558442195, -86.5757601632344 39.15482946759926, -86.57454025749247 39.15409828423627, -86.57339789443242 39.15325105004874, -86.57234407563499 39.15229592436503, -86.57138894995127 39.15124210556759, -86.57054171576374 39.150099742507535, -86.56981053240075 39.148879836765595, -86.5692024415578 39.147594136700945, -86.56872329948214 39.14625502430804, -86.56837772057388 39.14487539597125, -86.56816903294678 39.14346853826565, -86.56809924637682 39.142048))",13,6
902399070,2015-02-06,Weekday,16:00:00,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,BARGE & S LEONARD SPRINGS,39.13579732,-86.582496,"39.13579732,-86.582496",1,Clear,1,POINT (-86.582496 39.13579732),0.0,"POLYGON ((-86.56800324637682 39.13579732, -86.56807303294678 39.13437678173435, -86.56828172057388 39.13296992402876, -86.56862729948215 39.131590295691964, -86.5691064415578 39.13025118329906, -86.56971453240075 39.12896548323441, -86.57044571576374 39.12774557749247, -86.57129294995127 39.126603214432414, -86.57224807563499 39.12554939563498, -86.57330189443242 39.12459426995127, -86.57444425749247 39.123747035763735, -86.5756641632344 39.12301585240075, -86.57694986329906 39.12240776155781, -86.57828897569198 39.12192861948214, -86.57966860402875 39.12158304057387, -86.58107546173436 39.12137435294678, -86.582496 39.121304566376814, -86.58391653826565 39.12137435294678, -86.58532339597126 39.12158304057387, -86.58670302430804 39.12192861948214, -86.58804213670095 39.12240776155781, -86.5893278367656 39.12301585240075, -86.59054774250754 39.123747035763735, -86.5916901055676 39.12459426995127, -86.59274392436502 39.12554939563498, -86.59369905004874 39.126603214432414, -86.59454628423627 39.12774557749247, -86.59527746759926 39.12896548323441, -86.5958855584422 39.13025118329906, -86.59636470051787 39.131590295691964, -86.59671027942613 39.13296992402876, -86.59691896705323 39.13437678173435, -86.5969887536232 39.13579732, -86.59691896705323 39.13721785826565, -86.59671027942613 39.13862471597125, -86.59636470051787 39.14000434430804, -86.5958855584422 39.141343456700945, -86.59527746759926 39.142629156765594, -86.59454628423627 39.143849062507535, -86.59369905004874 39.14499142556759, -86.59274392436502 39.14604524436503, -86.5916901055676 39.14700037004874, -86.59054774250754 39.14784760423627, -86.5893278367656 39.148578787599256, -86.58804213670095 39.149186878442194, -86.58670302430804 39.14966602051786, -86.58532339597126 39.150011599426136, -86.58391653826565 39.15022028705322, -86.582496 39.15029007362319, -86.58107546173436 39.15022028705322, -86.57966860402875 39.150011599426136, -86.57828897569198 39.14966602051786, -86.57694986329906 39.149186878442194, -86.5756641632344 39.148578787599256, -86.57444425749247 39.14784760423627, -86.57330189443242 39.14700037004874, -86.57224807563499 39.14604524436503, -86.57129294995127 39.14499142556759, -86.57044571576374 39.143849062507535, -86.56971453240075 39.142629156765594, -86.5691064415578 39.141343456700945, -86.56862729948215 39.14000434430804, -86.56828172057388 39.13862471597125, -86.56807303294678 39.13721785826565, -86.56800324637682 39.13579732))",16,6
902403874,2015-02-06,Weekday,13:00:00,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRAHAM & ROGERS,39.13992,-86.538416,"39.13992,-86.538416",2,Clear,1,POINT (-86.538416 39.13992),0.0,"POLYGON ((-86.52392324637681 39.13992, -86.52399303294678 39.13849946173435, -86.52420172057387 39.13709260402875, -86.52454729948214 39.13571297569196, -86.5250264415578 39.134373863299054, -86.52563453240074 39.133088163234405, -86.52636571576373 39.131868257492464, -86.52721294995126 39.13072589443241, -86.52816807563498 39.12967207563497, -86.52922189443241 39.12871694995126, -86.53036425749247 39.12786971576373, -86.5315841632344 39.12713853240074, -86.53286986329906 39.126530441557804, -86.53420897569197 39.126051299482135, -86.53558860402875 39.12570572057386, -86.53699546173435 39.125497032946775, -86.538416 39.12542724637681, -86.53983653826565 39.125497032946775, -86.54124339597125 39.12570572057386, -86.54262302430803 39.126051299482135, -86.54396213670094 39.126530441557804, -86.5452478367656 39.12713853240074, -86.54646774250753 39.12786971576373, -86.54761010556759 39.12871694995126, -86.54866392436502 39.12967207563497, -86.54961905004873 39.13072589443241, -86.55046628423626 39.131868257492464, -86.55119746759925 39.133088163234405, -86.5518055584422 39.134373863299054, -86.55228470051786 39.13571297569196, -86.55263027942613 39.13709260402875, -86.55283896705322 39.13849946173435, -86.55290875362319 39.13992, -86.55283896705322 39.141340538265645, -86.55263027942613 39.14274739597124, -86.55228470051786 39.144127024308034, -86.5518055584422 39.14546613670094, -86.55119746759925 39.14675183676559, -86.55046628423626 39.14797174250753, -86.54961905004873 39.149114105567584, -86.54866392436502 39.15016792436502, -86.54761010556759 39.15112305004873, -86.54646774250753 39.15197028423626, -86.5452478367656 39.15270146759925, -86.54396213670094 39.15330955844219, -86.54262302430803 39.15378870051786, -86.54124339597125 39.15413427942613, -86.53983653826565 39.15434296705322, -86.538416 39.154412753623184, -86.53699546173435 39.15434296705322, -86.53558860402875 39.15413427942613, -86.53420897569197 39.15378870051786, -86.53286986329906 39.15330955844219, -86.5315841632344 39.15270146759925, -86.53036425749247 39.15197028423626, -86.52922189443241 39.15112305004873, -86.52816807563498 39.15016792436502, -86.52721294995126 39.149114105567584, -86.52636571576373 39.14797174250753, -86.52563453240074 39.14675183676559, -86.5250264415578 39.14546613670094, -86.52454729948214 39.144127024308034, -86.52420172057387 39.14274739597124, -86.52399303294678 39.141340538265645, -86.52392324637681 39.13992))",13,6
902471166,2015-06-06,Weekday,05:00:00,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SR37N & WYLIE,39.19857096,-86.5295245,"39.19857096,-86.5295245",0,Clear,1,POINT (-86.5295245 39.19857096),0.0,,5,6
902368964,2015-01-05,Weekday,06:00:00,2-Car,Non-incapacitating,IMPROPER TURNING,S COLLEGE & W 4TH,39.165664,-86.5348,"39.165664,-86.5348",42,Clear,2,POINT (-86.5348 39.165664),0.0,"POLYGON ((-86.52030724637682 39.165664, -86.52037703294678 39.16424346173435, -86.52058572057388 39.162836604028755, -86.52093129948214 39.16145697569196, -86.5214104415578 39.16011786329906, -86.52201853240075 39.15883216323441, -86.52274971576374 39.15761225749247, -86.52359694995127 39.15646989443241, -86.52455207563499 39.155416075634975, -86.52560589443242 39.154460949951265, -86.52674825749247 39.15361371576373, -86.5279681632344 39.152882532400746, -86.52925386329906 39.15227444155781, -86.53059297569197 39.15179529948214, -86.53197260402875 39.151449720573865, -86.53337946173436 39.15124103294678, -86.5348 39.15117124637681, -86.53622053826565 39.15124103294678, -86.53762739597126 39.151449720573865, -86.53900702430803 39.15179529948214, -86.54034613670095 39.15227444155781, -86.5416318367656 39.152882532400746, -86.54285174250754 39.15361371576373, -86.54399410556759 39.154460949951265, -86.54504792436502 39.155416075634975, -86.54600305004874 39.15646989443241, -86.54685028423627 39.15761225749247, -86.54758146759926 39.15883216323441, -86.5481895584422 39.16011786329906, -86.54866870051787 39.16145697569196, -86.54901427942613 39.162836604028755, -86.54922296705323 39.16424346173435, -86.54929275362319 39.165664, -86.54922296705323 39.16708453826565, -86.54901427942613 39.168491395971245, -86.54866870051787 39.16987102430804, -86.5481895584422 39.17121013670094, -86.54758146759926 39.17249583676559, -86.54685028423627 39.17371574250753, -86.54600305004874 39.17485810556759, -86.54504792436502 39.175911924365025, -86.54399410556759 39.176867050048735, -86.54285174250754 39.17771428423627, -86.5416318367656 39.17844546759925, -86.54034613670095 39.17905355844219, -86.53900702430803 39.17953270051786, -86.53762739597126 39.179878279426134, -86.53622053826565 39.18008696705322, -86.5348 39.18015675362319, -86.53337946173436 39.18008696705322, -86.53197260402875 39.179878279426134, -86.53059297569197 39.17953270051786, -86.52925386329906 39.17905355844219, -86.5279681632344 39.17844546759925, -86.52674825749247 39.17771428423627, -86.52560589443242 39.176867050048735, -86.52455207563499 39.175911924365025, -86.52359694995127 39.17485810556759, -86.52274971576374 39.17371574250753, -86.52201853240075 39.17249583676559, -86.5214104415578 39.17121013670094, -86.52093129948214 39.16987102430804, -86.52058572057388 39.168491395971245, -86.52037703294678 39.16708453826565, -86.52030724637682 39.165664))",6,6
902517982,2015-09-04,Weekday,22:00:00,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,COLLEGE MALL & E 2ND,39.160944,-86.497696,"39.160944,-86.497696",6,Clear,1,POINT (-86.497696 39.160944),0.0,"POLYGON ((-86.48320324637682 39.160944, -86.48327303294678 39.15952346173435, -86.48348172057388 39.158116604028756, -86.48382729948214 39.15673697569196, -86.4843064415578 39.15539786329906, -86.48491453240075 39.15411216323441, -86.48564571576374 39.15289225749247, -86.48649294995127 39.15174989443241, -86.48744807563499 39.150696075634976, -86.48850189443242 39.149740949951266, -86.48964425749247 39.148893715763734, -86.4908641632344 39.14816253240075, -86.49214986329906 39.14755444155781, -86.49348897569197 39.14707529948214, -86.49486860402875 39.146729720573866, -86.49627546173436 39.14652103294678, -86.497696 39.14645124637681, -86.49911653826565 39.14652103294678, -86.50052339597126 39.146729720573866, -86.50190302430804 39.14707529948214, -86.50324213670095 39.14755444155781, -86.5045278367656 39.14816253240075, -86.50574774250754 39.148893715763734, -86.50689010556759 39.149740949951266, -86.50794392436502 39.150696075634976, -86.50889905004874 39.15174989443241, -86.50974628423627 39.15289225749247, -86.51047746759926 39.15411216323441, -86.5110855584422 39.15539786329906, -86.51156470051787 39.15673697569196, -86.51191027942613 39.158116604028756, -86.51211896705323 39.15952346173435, -86.51218875362319 39.160944, -86.51211896705323 39.16236453826565, -86.51191027942613 39.163771395971246, -86.51156470051787 39.16515102430804, -86.5110855584422 39.16649013670094, -86.51047746759926 39.16777583676559, -86.50974628423627 39.16899574250753, -86.50889905004874 39.17013810556759, -86.50794392436502 39.171191924365026, -86.50689010556759 39.172147050048736, -86.50574774250754 39.17299428423627, -86.5045278367656 39.173725467599255, -86.50324213670095 39.17433355844219, -86.50190302430804 39.17481270051786, -86.50052339597126 39.175158279426135, -86.49911653826565 39.17536696705322, -86.497696 39.17543675362319, -86.49627546173436 39.17536696705322, -86.49486860402875 39.175158279426135, -86.49348897569197 39.17481270051786, -86.49214986329906 39.17433355844219, -86.4908641632344 39.173725467599255, -86.48964425749247 39.17299428423627, -86.48850189443242 39.172147050048736, -86.48744807563499 39.171191924365026, -86.48649294995127 39.17013810556759, -86.48564571576374 39.16899574250753, -86.48491453240075 39.16777583676559, -86.4843064415578 39.16649013670094, -86.48382729948214 39.16515102430804, -86.48348172057388 39.163771395971246, -86.48327303294678 39.16236453826565, -86.48320324637682 39.160944))",22,6
902429881,2015-04-04,Weekday,12:00:00,2-Car,No injury/unknown,UNSAFE BACKING,N COLLEGE,39.175984,-86.534736,"39.175984,-86.534736",39,Cloudy,1,POINT (-86.534736 39.175984),0.0,"POLYGON ((-86.52024324637681 39.175984, -86.52031303294677 39.17456346173435, -86.52052172057387 39.173156604028755, -86.52086729948213 39.17177697569196, -86.5213464415578 39.17043786329906, -86.52195453240074 39.16915216323441, -86.52268571576373 39.16793225749247, -86.52353294995126 39.16678989443241, -86.52448807563498 39.165736075634975, -86.52554189443241 39.164780949951265, -86.52668425749246 39.16393371576373, -86.5279041632344 39.163202532400746, -86.52918986329905 39.16259444155781, -86.53052897569196 39.16211529948214, -86.53190860402874 39.161769720573865, -86.53331546173435 39.16156103294678, -86.534736 39.16149124637681, -86.53615653826564 39.16156103294678, -86.53756339597125 39.161769720573865, -86.53894302430803 39.16211529948214, -86.54028213670094 39.16259444155781, -86.5415678367656 39.163202532400746, -86.54278774250753 39.16393371576373, -86.54393010556758 39.164780949951265, -86.54498392436501 39.165736075634975, -86.54593905004873 39.16678989443241, -86.54678628423626 39.16793225749247, -86.54751746759925 39.16915216323441, -86.5481255584422 39.17043786329906, -86.54860470051786 39.17177697569196, -86.54895027942612 39.173156604028755, -86.54915896705322 39.17456346173435, -86.54922875362318 39.175984, -86.54915896705322 39.17740453826565, -86.54895027942612 39.178811395971245, -86.54860470051786 39.18019102430804, -86.5481255584422 39.18153013670094, -86.54751746759925 39.18281583676559, -86.54678628423626 39.18403574250753, -86.54593905004873 39.18517810556759, -86.54498392436501 39.186231924365025, -86.54393010556758 39.187187050048735, -86.54278774250753 39.18803428423627, -86.5415678367656 39.188765467599254, -86.54028213670094 39.18937355844219, -86.53894302430803 39.18985270051786, -86.53756339597125 39.190198279426134, -86.53615653826564 39.19040696705322, -86.534736 39.19047675362319, -86.53331546173435 39.19040696705322, -86.53190860402874 39.190198279426134, -86.53052897569196 39.18985270051786, -86.52918986329905 39.18937355844219, -86.5279041632344 39.188765467599254, -86.52668425749246 39.18803428423627, -86.52554189443241 39.187187050048735, -86.52448807563498 39.186231924365025, -86.52353294995126 39.18517810556759, -86.52268571576373 39.18403574250753, -86.52195453240074 39.18281583676559, -86.5213464415578 39.18153013670094, -86.52086729948213 39.18019102430804, -86.52052172057387 39.178811395971245, -86.52031303294677 39.17740453826565, -86.52024324637681 39.175984))",12,6
902562626,2015-11-07,Weekend,12:00:00,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,ARBUTUS & THIRD,39.16427024,-86.51217006,"39.16427024,-86.51217006",14,Cloudy,1,POINT (-86.51217006 39.16427024),0.0,"POLYGON ((-86.49767730637681 39.16427024, -86.49774709294678 39.16284970173435, -86.49795578057388 39.161442844028755, -86.49830135948214 39.16006321569196, -86.4987805015578 39.15872410329906, -86.49938859240075 39.15743840323441, -86.50011977576374 39.15621849749247, -86.50096700995127 39.15507613443241, -86.50192213563498 39.154022315634975, -86.50297595443242 39.153067189951265, -86.50411831749247 39.152219955763734, -86.5053382232344 39.15148877240075, -86.50662392329906 39.15088068155781, -86.50796303569197 39.15040153948214, -86.50934266402875 39.150055960573866, -86.51074952173435 39.14984727294678, -86.51217006 39.14977748637681, -86.51359059826565 39.14984727294678, -86.51499745597125 39.150055960573866, -86.51637708430803 39.15040153948214, -86.51771619670095 39.15088068155781, -86.5190018967656 39.15148877240075, -86.52022180250754 39.152219955763734, -86.52136416556759 39.153067189951265, -86.52241798436502 39.154022315634975, -86.52337311004874 39.15507613443241, -86.52422034423627 39.15621849749247, -86.52495152759926 39.15743840323441, -86.5255596184422 39.15872410329906, -86.52603876051786 39.16006321569196, -86.52638433942613 39.161442844028755, -86.52659302705322 39.16284970173435, -86.52666281362319 39.16427024, -86.52659302705322 39.16569077826565, -86.52638433942613 39.167097635971245, -86.52603876051786 39.16847726430804, -86.5255596184422 39.16981637670094, -86.52495152759926 39.17110207676559, -86.52422034423627 39.17232198250753, -86.52337311004874 39.17346434556759, -86.52241798436502 39.174518164365026, -86.52136416556759 39.175473290048735, -86.52022180250754 39.17632052423627, -86.5190018967656 39.177051707599254, -86.51771619670095 39.17765979844219, -86.51637708430803 39.17813894051786, -86.51499745597125 39.178484519426135, -86.51359059826565 39.17869320705322, -86.51217006 39.17876299362319, -86.51074952173435 39.17869320705322, -86.50934266402875 39.178484519426135, -86.50796303569197 39.17813894051786, -86.50662392329906 39.17765979844219, -86.5053382232344 39.177051707599254, -86.50411831749247 39.17632052423627, -86.50297595443242 39.175473290048735, -86.50192213563498 39.174518164365026, -86.50096700995127 39.17346434556759, -86.50011977576374 39.17232198250753, -86.49938859240075 39.17110207676559, -86.4987805015578 39.16981637670094, -86.49830135948214 39.16847726430804, -86.49795578057388 39.167097635971245, -86.49774709294678 39.16569077826565, -86.49767730637681 39.16427024))",12,6
902440827,2015-05-04,Weekday,19:00:00,2-Car,No injury/unknown,IMPROPER LANE USAGE,S COLLEGE,39.17088686,-86.534768,"39.17088686,-86.534768",39,Clear,1,POINT (-86.534768 39.17088686),0.0,"POLYGON ((-86.52027524637681 39.17088686, -86.52034503294678 39.169466321734355, -86.52055372057387 39.16805946402876, -86.52089929948214 39.166679835691966, -86.5213784415578 39.16534072329906, -86.52198653240075 39.16405502323441, -86.52271771576373 39.16283511749247, -86.52356494995126 39.161692754432416, -86.52452007563498 39.16063893563498, -86.52557389443241 39.15968380995127, -86.52671625749247 39.158836575763736, -86.5279361632344 39.15810539240075, -86.52922186329906 39.15749730155781, -86.53056097569197 39.15701815948214, -86.53194060402875 39.15667258057387, -86.53334746173435 39.15646389294678, -86.534768 39.156394106376816, -86.53618853826565 39.15646389294678, -86.53759539597125 39.15667258057387, -86.53897502430803 39.15701815948214, -86.54031413670094 39.15749730155781, -86.5415998367656 39.15810539240075, -86.54281974250753 39.158836575763736, -86.54396210556759 39.15968380995127, -86.54501592436502 39.16063893563498, -86.54597105004873 39.161692754432416, -86.54681828423627 39.16283511749247, -86.54754946759925 39.16405502323441, -86.5481575584422 39.16534072329906, -86.54863670051786 39.166679835691966, -86.54898227942613 39.16805946402876, -86.54919096705322 39.169466321734355, -86.54926075362319 39.17088686, -86.54919096705322 39.17230739826565, -86.54898227942613 39.17371425597125, -86.54863670051786 39.17509388430804, -86.5481575584422 39.176432996700946, -86.54754946759925 39.177718696765595, -86.54681828423627 39.178938602507536, -86.54597105004873 39.18008096556759, -86.54501592436502 39.18113478436503, -86.54396210556759 39.18208991004874, -86.54281974250753 39.18293714423627, -86.5415998367656 39.18366832759926, -86.54031413670094 39.184276418442195, -86.53897502430803 39.184755560517864, -86.53759539597125 39.18510113942614, -86.53618853826565 39.185309827053224, -86.534768 39.18537961362319, -86.53334746173435 39.185309827053224, -86.53194060402875 39.18510113942614, -86.53056097569197 39.184755560517864, -86.52922186329906 39.184276418442195, -86.5279361632344 39.18366832759926, -86.52671625749247 39.18293714423627, -86.52557389443241 39.18208991004874, -86.52452007563498 39.18113478436503, -86.52356494995126 39.18008096556759, -86.52271771576373 39.178938602507536, -86.52198653240075 39.177718696765595, -86.5213784415578 39.176432996700946, -86.52089929948214 39.17509388430804, -86.52055372057387 39.17371425597125, -86.52034503294678 39.17230739826565, -86.52027524637681 39.17088686))",19,6
